DoppelName,DeviceID,AccessToken
TempSensor100k-c1,1,Access1
TempSensor100k-c2,2,Access2
TempSensor100k-c3,3,Access3
TempSensor100k-c4,4,Access4
TempSensor100k-c5,5,Access5
TempSensor100k-c6,6,Access6
TempSensor100k-c7,7,Access7
TempSensor100k-c8,8,Access8
TempSensor100k-c9,9,Access9
TempSensor100k-c10,10,Access10
TempSensor100k-c11,11,Access11
TempSensor100k-c12,12,Access12
TempSensor100k-c13,13,Access13
TempSensor100k-c14,14,Access14
TempSensor100k-c15,15,Access15
TempSensor100k-c16,16,Access16
TempSensor100k-c17,17,Access17
TempSensor100k-c18,18,Access18
TempSensor100k-c19,19,Access19
TempSensor100k-c20,20,Access20
TempSensor100k-c21,21,Access21
TempSensor100k-c22,22,Access22
TempSensor100k-c23,23,Access23
TempSensor100k-c24,24,Access24
TempSensor100k-c25,25,Access25
TempSensor100k-c26,26,Access26
TempSensor100k-c27,27,Access27
TempSensor100k-c28,28,Access28
TempSensor100k-c29,29,Access29
TempSensor100k-c30,30,Access30
TempSensor100k-c31,31,Access31
TempSensor100k-c32,32,Access32
TempSensor100k-c33,33,Access33
TempSensor100k-c34,34,Access34
TempSensor100k-c35,35,Access35
TempSensor100k-c36,36,Access36
TempSensor100k-c37,37,Access37
TempSensor100k-c38,38,Access38
TempSensor100k-c39,39,Access39
TempSensor100k-c40,40,Access40
TempSensor100k-c41,41,Access41
TempSensor100k-c42,42,Access42
TempSensor100k-c43,43,Access43
TempSensor100k-c44,44,Access44
TempSensor100k-c45,45,Access45
TempSensor100k-c46,46,Access46
TempSensor100k-c47,47,Access47
TempSensor100k-c48,48,Access48
TempSensor100k-c49,49,Access49
TempSensor100k-c50,50,Access50
TempSensor100k-c51,51,Access51
TempSensor100k-c52,52,Access52
TempSensor100k-c53,53,Access53
TempSensor100k-c54,54,Access54
TempSensor100k-c55,55,Access55
TempSensor100k-c56,56,Access56
TempSensor100k-c57,57,Access57
TempSensor100k-c58,58,Access58
TempSensor100k-c59,59,Access59
TempSensor100k-c60,60,Access60
TempSensor100k-c61,61,Access61
TempSensor100k-c62,62,Access62
TempSensor100k-c63,63,Access63
TempSensor100k-c64,64,Access64
TempSensor100k-c65,65,Access65
TempSensor100k-c66,66,Access66
TempSensor100k-c67,67,Access67
TempSensor100k-c68,68,Access68
TempSensor100k-c69,69,Access69
TempSensor100k-c70,70,Access70
TempSensor100k-c71,71,Access71
TempSensor100k-c72,72,Access72
TempSensor100k-c73,73,Access73
TempSensor100k-c74,74,Access74
TempSensor100k-c75,75,Access75
TempSensor100k-c76,76,Access76
TempSensor100k-c77,77,Access77
TempSensor100k-c78,78,Access78
TempSensor100k-c79,79,Access79
TempSensor100k-c80,80,Access80
TempSensor100k-c81,81,Access81
TempSensor100k-c82,82,Access82
TempSensor100k-c83,83,Access83
TempSensor100k-c84,84,Access84
TempSensor100k-c85,85,Access85
TempSensor100k-c86,86,Access86
TempSensor100k-c87,87,Access87
TempSensor100k-c88,88,Access88
TempSensor100k-c89,89,Access89
TempSensor100k-c90,90,Access90
TempSensor100k-c91,91,Access91
TempSensor100k-c92,92,Access92
TempSensor100k-c93,93,Access93
TempSensor100k-c94,94,Access94
TempSensor100k-c95,95,Access95
TempSensor100k-c96,96,Access96
TempSensor100k-c97,97,Access97
TempSensor100k-c98,98,Access98
TempSensor100k-c99,99,Access99
TempSensor100k-c100,100,Access100
TempSensor100k-c101,101,Access101
TempSensor100k-c102,102,Access102
TempSensor100k-c103,103,Access103
TempSensor100k-c104,104,Access104
TempSensor100k-c105,105,Access105
TempSensor100k-c106,106,Access106
TempSensor100k-c107,107,Access107
TempSensor100k-c108,108,Access108
TempSensor100k-c109,109,Access109
TempSensor100k-c110,110,Access110
TempSensor100k-c111,111,Access111
TempSensor100k-c112,112,Access112
TempSensor100k-c113,113,Access113
TempSensor100k-c114,114,Access114
